date,epiyear,epiweek,disease,province,type,cases,cases_low,cases_upp,rates,rates_low,rates_upp
2021-01-04,2021,1,malaria,CABO DELGADO,Observado,10479.0,10479.0,10479.0,403.51960092020295,403.51960092020295,403.51960092020295
2021-01-11,2021,2,malaria,CABO DELGADO,Observado,12643.0,12643.0,12643.0,486.54594760797755,486.54594760797755,486.54594760797755
2021-01-18,2021,3,malaria,CABO DELGADO,Observado,17359.0,17359.0,17359.0,667.6868241249189,667.6868241249189,667.6868241249189
2021-01-25,2021,4,malaria,CABO DELGADO,Observado,21057.0,21057.0,21057.0,809.4922475175853,809.4922475175853,809.4922475175853
2021-02-01,2021,5,malaria,CABO DELGADO,Observado,20126.0,20126.0,20126.0,773.2777024806504,773.2777024806504,773.2777024806504
2021-02-08,2021,6,malaria,CABO DELGADO,Observado,22426.0,22426.0,22426.0,861.2125731666844,861.2125731666844,861.2125731666844
2021-02-15,2021,7,malaria,CABO DELGADO,Observado,22322.0,22322.0,22322.0,856.7617125097179,856.7617125097179,856.7617125097179
2021-02-22,2021,8,malaria,CABO DELGADO,Observado,20295.0,20295.0,20295.0,778.5134628077387,778.5134628077387,778.5134628077387
2021-03-01,2021,9,malaria,CABO DELGADO,Observado,21165.0,21165.0,21165.0,811.4793539130388,811.4793539130388,811.4793539130388
2021-03-08,2021,10,malaria,CABO DELGADO,Observado,22646.0,22646.0,22646.0,867.7807295928661,867.7807295928661,867.7807295928661
2021-03-15,2021,11,malaria,CABO DELGADO,Observado,28030.0,28030.0,28030.0,1073.5153089471876,1073.5153089471876,1073.5153089471876
2021-03-22,2021,12,malaria,CABO DELGADO,Observado,27599.0,27599.0,27599.0,1056.4326836062232,1056.4326836062232,1056.4326836062232
2021-03-29,2021,13,malaria,CABO DELGADO,Observado,23426.0,23426.0,23426.0,896.2194519903494,896.2194519903494,896.2194519903494
2021-04-05,2021,14,malaria,CABO DELGADO,Observado,21589.0,21589.0,21589.0,825.4934147067827,825.4934147067827,825.4934147067827
2021-04-12,2021,15,malaria,CABO DELGADO,Observado,26925.0,26925.0,26925.0,1028.9661056036218,1028.9661056036218,1028.9661056036218
2021-04-19,2021,16,malaria,CABO DELGADO,Observado,29338.0,29338.0,29338.0,1120.6006920562218,1120.6006920562218,1120.6006920562218
2021-04-26,2021,17,malaria,CABO DELGADO,Observado,27351.0,27351.0,27351.0,1044.1274654736046,1044.1274654736046,1044.1274654736046
2021-05-03,2021,18,malaria,CABO DELGADO,Observado,26441.0,26441.0,26441.0,1008.8554568406906,1008.8554568406906,1008.8554568406906
2021-05-10,2021,19,malaria,CABO DELGADO,Observado,20618.0,20618.0,20618.0,786.2384175282994,786.2384175282994,786.2384175282994
2021-05-17,2021,20,malaria,CABO DELGADO,Observado,23238.0,23238.0,23238.0,885.6741345068646,885.6741345068646,885.6741345068646
2021-05-24,2021,21,malaria,CABO DELGADO,Observado,20360.0,20360.0,20360.0,775.5793451483772,775.5793451483772,775.5793451483772
2021-05-31,2021,22,malaria,CABO DELGADO,Observado,17766.0,17766.0,17766.0,676.409335929801,676.409335929801,676.409335929801
2021-06-07,2021,23,malaria,CABO DELGADO,Observado,19538.0,19538.0,19538.0,743.4762147257505,743.4762147257505,743.4762147257505
2021-06-14,2021,24,malaria,CABO DELGADO,Observado,20072.0,20072.0,20072.0,763.4050850128598,763.4050850128598,763.4050850128598
2021-06-21,2021,25,malaria,CABO DELGADO,Observado,17438.0,17438.0,17438.0,662.8655357392394,662.8655357392394,662.8655357392394
2021-06-28,2021,26,malaria,CABO DELGADO,Observado,18707.0,18707.0,18707.0,710.7009400846656,710.7009400846656,710.7009400846656
2021-07-05,2021,27,malaria,CABO DELGADO,Observado,18438.0,18438.0,18438.0,700.1296077224001,700.1296077224001,700.1296077224001
2021-07-12,2021,28,malaria,CABO DELGADO,Observado,19045.0,19045.0,19045.0,722.7885229533657,722.7885229533657,722.7885229533657
2021-07-19,2021,29,malaria,CABO DELGADO,Observado,16596.0,16596.0,16596.0,629.5236657277514,629.5236657277514,629.5236657277514
2021-07-26,2021,30,malaria,CABO DELGADO,Observado,17971.0,17971.0,17971.0,681.3160716188434,681.3160716188434,681.3160716188434
2021-08-02,2021,31,malaria,CABO DELGADO,Observado,17096.0,17096.0,17096.0,647.7877119917238,647.7877119917238,647.7877119917238
2021-08-09,2021,32,malaria,CABO DELGADO,Observado,17172.0,17172.0,17172.0,650.3215601062295,650.3215601062295,650.3215601062295
2021-08-16,2021,33,malaria,CABO DELGADO,Observado,17169.0,17169.0,17169.0,649.8408608689665,649.8408608689665,649.8408608689665
2021-08-23,2021,34,malaria,CABO DELGADO,Observado,16137.0,16137.0,16137.0,610.4520486424799,610.4520486424799,610.4520486424799
2021-08-30,2021,35,malaria,CABO DELGADO,Observado,15692.0,15692.0,15692.0,593.3331890198052,593.3331890198052,593.3331890198052
2021-09-06,2021,36,malaria,CABO DELGADO,Observado,15676.0,15676.0,15676.0,592.3898179533624,592.3898179533624,592.3898179533624
2021-09-13,2021,37,malaria,CABO DELGADO,Observado,17742.0,17742.0,17742.0,670.1276774764297,670.1276774764297,670.1276774764297
2021-09-20,2021,38,malaria,CABO DELGADO,Observado,17739.0,17739.0,17739.0,669.637748090317,669.637748090317,669.637748090317
2021-09-27,2021,39,malaria,CABO DELGADO,Observado,17100.0,17100.0,17100.0,645.1749663470097,645.1749663470097,645.1749663470097
2021-10-04,2021,40,malaria,CABO DELGADO,Observado,15828.0,15828.0,15828.0,596.8670091949103,596.8670091949103,596.8670091949103
2021-10-11,2021,41,malaria,CABO DELGADO,Observado,16582.0,16582.0,16582.0,624.9751808264432,624.9751808264432,624.9751808264432
2021-10-18,2021,42,malaria,CABO DELGADO,Observado,15057.0,15057.0,15057.0,567.1996663137252,567.1996663137252,567.1996663137252
2021-10-25,2021,43,malaria,CABO DELGADO,Observado,13390.0,13390.0,13390.0,504.14984157706124,504.14984157706124,504.14984157706124
2021-11-01,2021,44,malaria,CABO DELGADO,Observado,13886.0,13886.0,13886.0,522.5472389530179,522.5472389530179,522.5472389530179
2021-11-08,2021,45,malaria,CABO DELGADO,Observado,13774.0,13774.0,13774.0,518.0393981178102,518.0393981178102,518.0393981178102
